# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Favicons
# DB Description,Website Favicons
# Table,favicon_bitmaps
# Table Description,Favicon bitmap data
# Total Rows in DB,840
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,e3c84f207494d7fa0eb9a69bade06c04

id,icon_id,last_updated,image_data,width,height,last_requested,last_updated__HUMAN,last_updated__FORMAT,last_requested__HUMAN,last_requested__FORMAT
129,65,13399721713691255,<BLOB 906 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 08:55:13 UTC,WebKit (Chrome),,null
130,65,13399721713691482,<BLOB 2389 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 08:55:13 UTC,WebKit (Chrome),,null
131,66,13399722039808873,<BLOB 785 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 09:00:39 UTC,WebKit (Chrome),,null
132,66,13399722039808897,<BLOB 1251 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 09:00:39 UTC,WebKit (Chrome),,null
133,67,13403657698739700,<BLOB 717 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-09-29 22:14:58 UTC,WebKit (Chrome),,null
134,67,13403657698739749,<BLOB 1733 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-09-29 22:14:58 UTC,WebKit (Chrome),,null
135,68,13399722977076331,<BLOB 817 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 09:16:17 UTC,WebKit (Chrome),,null
136,68,13399722977076387,<BLOB 988 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 09:16:17 UTC,WebKit (Chrome),,null
137,69,13399759351421820,<BLOB 220 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-15 19:22:31 UTC,WebKit (Chrome),,null
138,69,13399759351421872,<BLOB 272 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-15 19:22:31 UTC,WebKit (Chrome),,null
139,70,13399799881513492,<BLOB 696 bytes: 89504e470d0a1a0a0000000d49484452000000100000001008060000001ff3ff...>,16,16,0,2025-08-16 06:38:01 UTC,WebKit (Chrome),,null
140,70,13399799881513841,<BLOB 1501 bytes: 89504e470d0a1a0a0000000d4948445200000020000000200806000000737a7a...>,32,32,0,2025-08-16 06:38:01 UTC,WebKit (Chrome),,null
