# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database
# DB Description,Credential Affiliations
# Table,psl_extensions
# Table Description,psl_extensions
# Total Rows in DB,607
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,98f842308ecd3f8294f4be9e56674791

domain,domain__DOMAIN,domain__CATEGORY
ioservice.net,ioservice.net,Other
ismygym.com,ismygym.com,Other
ispringlearn.com,ispringlearn.com,Other
ispringlearn.eu,ispringlearn.eu,Other
ispringlearn.ru,ispringlearn.ru,Other
jam-srl.it,jam-srl.it,Other
jamespot.pro,jamespot.pro,Other
jet8.app,jet8.app,Other
jira.com,jira.com,Other
jitbit.com,jitbit.com,Other
job-list.net,job-list.net,Other
joingo.com,joingo.com,Other
joinvint.com,joinvint.com,Other
jotta.us,jotta.us,Other
jumbula.com,jumbula.com,Other
k8s.osnova.io,k8s.osnova.io,Other
kanpla.dk,kanpla.dk,Other
kats.app,kats.app,Other
knowledgecity.com,knowledgecity.com,Other
layers.education,layers.education,Other
learningpool.com,learningpool.com,Other
learnster.com,learnster.com,Other
learnyst.com,learnyst.com,Other
lepotcommun.fr,lepotcommun.fr,Other
linkaplicativo.com,linkaplicativo.com,Other
listennow.link,listennow.link,Other
local.welder.nl,local.welder.nl,Other
locals.com,locals.com,Other
login.olx.com,login.olx.com,Other
login.swapcard.com,login.swapcard.com,Other
loyaltyapps.co.uk,loyaltyapps.co.uk,Other
lucidhotels.us,lucidhotels.us,Other
machtfit.de,machtfit.de,Other
mallcommapp.co.uk,mallcommapp.co.uk,Other
managebuilding.com,managebuilding.com,Other
manyplacesapp.com,manyplacesapp.com,Other
marteye.ie,marteye.ie,Other
matchfit.de,matchfit.de,Other
mdoc.one,mdoc.one,Other
mediainovasi.id,mediainovasi.id,Other
megataxi.com,megataxi.com,Other
member.site,member.site,Other
mendixcloud.com,mendixcloud.com,Other
mhub.tv,mhub.tv,Other
minsh.com,minsh.com,Other
missions.app,missions.app,Other
mit.edu,mit.edu,Other
miveo.se,miveo.se,Other
mlearn.mobi,mlearn.mobi,Other
mo-bro.com,mo-bro.com,Other
mobcast.in,mobcast.in,Other
